id,date,stp_id,farm_id,tons_delivered
0,2025-01-01,STP_KCH,F_1000,0.00
1,2025-01-02,STP_KCH,F_1000,0.00
2,2025-01-03,STP_KCH,F_1000,0.00
3,2025-01-04,STP_KCH,F_1000,0.00
4,2025-01-05,STP_KCH,F_1000,0.00
5,2025-01-06,STP_KCH,F_1000,0.00
6,2025-01-07,STP_KCH,F_1000,0.00
7,2025-01-08,STP_KCH,F_1000,0.00
8,2025-01-09,STP_KCH,F_1000,0.00
9,2025-01-10,STP_KCH,F_1000,0.00
10,2025-01-11,STP_KCH,F_1000,0.00
11,2025-01-12,STP_KCH,F_1000,0.00
12,2025-01-13,STP_KCH,F_1000,0.00
13,2025-01-14,STP_KCH,F_1000,0.00
14,2025-01-15,STP_KCH,F_1000,0.00
15,2025-01-16,STP_KCH,F_1000,0.00
16,2025-01-17,STP_KCH,F_1000,0.00
17,2025-01-18,STP_KCH,F_1000,0.00
18,2025-01-19,STP_KCH,F_1000,0.00
19,2025-01-20,STP_KCH,F_1000,0.00
20,2025-01-21,STP_KCH,F_1000,0.00
21,2025-01-22,STP_KCH,F_1000,0.00
22,2025-01-23,STP_KCH,F_1000,0.00
23,2025-01-24,STP_KCH,F_1000,0.00
24,2025-01-25,STP_KCH,F_1000,0.00
25,2025-01-26,STP_KCH,F_1000,0.00
26,2025-01-27,STP_KCH,F_1000,0.00
27,2025-01-28,STP_KCH,F_1000,0.00
28,2025-01-29,STP_KCH,F_1000,0.00
29,2025-01-30,STP_KCH,F_1000,0.00
30,2025-01-31,STP_KCH,F_1000,0.00
31,2025-02-01,STP_KCH,F_1000,0.00
32,2025-02-02,STP_KCH,F_1000,0.00
33,2025-02-03,STP_KCH,F_1000,0.00
34,2025-02-04,STP_KCH,F_1000,0.00
35,2025-02-05,STP_KCH,F_1000,0.00
36,2025-02-06,STP_KCH,F_1000,0.00
37,2025-02-07,STP_KCH,F_1000,0.00
38,2025-02-08,STP_KCH,F_1000,0.00
39,2025-02-09,STP_KCH,F_1000,0.00
40,2025-02-10,STP_KCH,F_1000,0.00
41,2025-02-11,STP_KCH,F_1000,0.00
42,2025-02-12,STP_KCH,F_1000,0.00
